streams working with VS1053_ext

//______________________________________________________________________
320k streams 

107.8 Radio Jackie                        www.radiojackie.com:5873/
N JOY                                     www.ndr.de/resources/metadaten/audio/m3u/n-joy.m3u
NDR1 Radio MV                             www.ndr.de/resources/metadaten/audio/m3u/ndr1radiomv.m3u
NDR2 MV                                   www.ndr.de/resources/metadaten/audio/m3u/ndr2_mv.m3u
NDR 90,3                                  www.ndr.de/resources/metadaten/audio/m3u/ndr903.m3u
Neckaralb Live                            www.surfmusik.de/m3u/neckaralb-live,18555.m3u
NE-WS 89.4                                edge.live.mp3.mdn.newmedia.nacamar.net/ps-news894/livestream.mp3.m3u
Ostseewelle Hitradio                      edge.live.mp3.mdn.newmedia.nacamar.net/ostseewellelive/livestream.mp3
planet radio iTunes hot 40                mp3.planetradio.de/planetradio/hqlivestream.mp3
Power Radio                               85.25.217.22:8020/stream
PRIMATON                                  mp3ad.primaton.c.nmdn.net/primaton/livestream4hi.mp3?
R.SA Sachsen                              streams.rsa-sachsen.de/100/mp3-128/streams.rsa-sachsen.de/
R.SH                                      streams.rsh.de/rsh-live/mp3-192/vtuner/
R.SH Sylt                                 streams.rsh.de/rsh-sylt/mp3-192/mediaplayer
Radio 21 Hannover.FM                      188.94.97.92:80/lnn_hannoverfm.mp3
Radio 7 Aalen                             stream.radio7.de/stream9/livestream.mp3
Radio 8                                   stream.radio8.de:8000/live
Radio Arabella                            rs6.stream24.net/stream.aac
RADIO AUGSBURG                            streamplus36.leonex.de:15440
radio B2 Berlin-Brandenburg               mp3ad.radiob2.c.nmdn.net/ps-radiob2regional/livestream.mp3
Radio Bamberg                             rs1.stream24.net:80/stream
Radio Berg                                edge.live.mp3.mdn.newmedia.nacamar.net/radioberg/livestream.mp3
RADIO BOB!                                streams.radiobob.de/bob-live/mp3-192/vtuner/
Radio Bonn Rhein-Sieg                     www.surfmusik.de/m3u/radio-bonn-rhein-sieg,998.m3u
Radio Brocken                             stream.radiobrocken.de/live/mp3-128/radioplayerhp/play.m3u
Radio Cottbus                             edge.audio.3qsdn.com/5708_BKtjwVvWF3NmzGH
Radio Dresden                             streaming.radiodresden.de/radio-dresden_simulcast_128k_mp3
Radio Duisburg                            www.surfmusik.de/m3u/radio-duisburg,9690.m3u
Radio Eins                                webstream.radioeins.com/radio-eins.mp3
Radio Erzgebirge                          streaming.radioerzgebirge.de/radio-erzgebirge_simulcast_128k_mp3
Radio F                                   webradio.radiof.de:8000
Radio Fantasy                             stream.fantasy.de/fantasy.mp3
radio ffn                                 stream.ffn.de/ffn/mp3-192/
RADIO FLENSBURG                           www.surfmusik.de/m3u/radio-flensburg,9276.m3u
Radio Galaxy                              mp3ad.radiogalaxy.c.nmdn.net/ps-radiogalaxy/livestream.mp3
radio Guetersloh                          mp3.radioguetersloh.c.nmdn.net/ps-radioguetersloh/livestream.mp3
Radio Hamburg                             stream.radiohamburg.de/rhh-live/mp3-128/vtuner/
radio Herford                             mp3.radioherford.c.nmdn.net/ps-radioherford/livestream.mp3
Radio Ingolstadt                          www.funkhaus-ingolstadt.de/streams/radioin-mp3.m3u
Radio Kaarst                              46.105.118.14:8800
Radio M4                                  144.76.12.86:4444/m4-web-hq
Radio Mainwelle                           webstream.mainwelle.de/radio-mainwelle.mp3
Radio MK Nord                             radiomknord.radiovonhier.de:8000/stream_high.mp3
Radio Neandertal                          mp3.l.nmdn.net:80/ps-neandertal/livestream.mp3
Radio Nienburg Mittelweser                www.surfmusik.de/m3u/radio-mittelweser-103-3-fm,15245.m3u
Radio Nora                                stream.hoerradar.de/nora128.m3u
Radio Nordseewelle                        stream.radio-nordseewelle.de/live/mp3-192/vtuner/
Radio Okerwelle 104.6                     www.surfmusik.de/m3u/radio-okerwelle,988.m3u
Radio Ostfriesland                        www.surfmusik.de/m3u/radio-ostfriesland,9899.m3u
Radio Paradiso                            klang.center:8080/paradiso.bln.mp3
Radio Plassenburg 101,6                   rs15.stream24.net/stream
Radio Potsdam                             mp3.radiopotsdam.c.nmdn.net/ps-radiopotsdam/livestream.mp3
Radio Primavera                           mp3ad.radioprimavera.c.nmdn.net/fs_radioprimavera/livestream.mp3
Radio PSR                                 streams.radiopsr.de/psr-live/mp3-192/streams.radiopsr.de/
Radio Regenbogen                          scast.regenbogen.de/rr-karlsruhe-128-mp3
Radio RSG                                 edge.live.mp3.mdn.newmedia.nacamar.net/ps-radiorsg/livestream.mp3
Radio Rüsselsheim                         www.radio-r.net:8000/radio-r
Radio Salü - Top100                       internetradio.salue.de:8000/top100.mp3
radio SAW                                 stream.radiosaw.de/
Radio Seefunk - RSF                       webradio.radio-seefunk.de:8000
Radio SRW                                 148.251.57.185:9306/
Radio TEDDY                               78.47.119.109:8000/intro.radioteddy.mp3
Radio Ton                                 live.radioton.de/rt-live-hn.m3u
Radio Trausnitz                           mp3.l.nmdn.net:80/ps-radiotrausnitz/livestream.mp3
RADIO VHR                                 live.radio-vhr.de/radiovhr.mp3.m3u
RADIO WMW                                 mms.hoerradar.de/wmw128k
Radio Wuppertal                           mp3.l.nmdn.net:80/ps-radiowuppertal/livestream.mp3
RADIO21 - 104.1 Oldenburg                 188.94.97.91/radio21_oldenburg.mp3
Radio38                                   stream.radio38.de/bs/mp3-128/stream.radio38.de/
radioBerlin 88,0                          rbb-radioberlin-live.cast.addradio.de/rbb/radioberlin/live/mp3/128/stream.mp3
radioeins vom rbb                         www.radioeins.de/live.m3u
radiowsw                                  87.98.217.63:24094/stream
radio-ilmwelle                            www.surfmusik.de/m3u/radio-ilmwelle,17933.m3u
ROCK ANTENNE                              www.rockantenne.de/webradio/rockantenne.m3u
Rockland                                  stream.rockland-digital.de/rockland/mp3-128
Schwarzwald Radio                         str0.creacast.com/schwarzwaldradio.m3u
SR1                                       streaming01.sr-online.de/sr1_2.m3u
SR3                                       streaming01.sr-online.de/sr3_2.m3u
STAR FM Maximum Rock Berlin               85.25.43.55:80/berlin.mp3
STAR SAT RADIO                            mp3ad.radiob2starsat.c.nmdn.net/ps-radiob2starsat/livestream.mp3
sunshine live                             www.surfmusik.de/m3u/radio-sunshine-live,917.m3u
SWR1 BW                                   mp3-live.swr.de/swr1bw_m.m3u
SWR2                                      mp3-live.swr.de/swr2_m.m3u
SWR3                                      mp3-live.swr3.de/swr3_m.m3u
SWR4 BW                                   mp3-live.swr.de/swr4bw_m.m3u
Syltfunk                                  www.surfmusik.de/m3u/syltfunk-radio,18227.m3u
TIDE 96,0                                 www.surfmusik.de/m3u/tide-96-0,10289.m3u
UnserDing                                 streaming01.sr-online.de/unserding_1.m3u
VOGTLAND RADIO                            vogtlandradio.mp3.green.ch/vogtland_128k_mp3
Welle Niederrhein                         mp3.l.nmdn.net:80/ps-wellenr/livestream.mp3
YOU FM                                    hr-youfm-live.cast.addradio.de/hr/youfm/live/mp3/128/stream.mp3

88.6 Wien                                 www.surfmusik.de/m3u/radio-88-6-fm,10712.m3u
Antenne Tirol Livestream                  streamplus30.leonex.de:14840/listen.pls
ANTENNE VORARLBERG HD                     webradio.antennevorarlberg.at/live.m3u
HEROLD relax radio                        94.136.28.13:8015/heroldrelax
Hitradio OE3                              mp3stream7.apasf.apa.at:8000/listen.pls
Kronehit                                  onair.krone.at/kronehit.mp3.m3u
Kronehit Yam                              onair-ha1.krone.at/kronehit-yam.mp3.m3u
Life Radio                                94.136.28.10:8000/liferadio.m3u
Life Radio - Made in Austria              94.136.28.10:8001/mia.m3u
